sampleID	sample_category	section	cruise_id	station_num_BODC	bottle_num_BODC	date	time	lat	lon	depth	ocean_category	replicate	depth_category
S0168	geotraces	GA02	PE321	1608904	634370	2010-06-16	00:22:00	28.0905	-67.5015	8	north atlantic	A	epipelagic
S0169	geotraces	GA02	PE321	1608904	634361	2010-06-16	00:22:00	28.0905	-67.5015	76	north atlantic	A	epipelagic
S0170	geotraces	GA02	PE321	1608904	634358	2010-06-16	00:22:00	28.0905	-67.5015	87	north atlantic	A	epipelagic
S0171	geotraces	GA02	PE321	1608904	634355	2010-06-16	00:22:00	28.0905	-67.5015	150	north atlantic	A	epipelagic
S0172	geotraces	GA02	PE321	1608904	634352	2010-06-16	00:22:00	28.0905	-67.5015	200	north atlantic	A	epipelagic
S0177	geotraces	GA02	JC057	1629687	637412	2011-03-13	13:43:00	-35.0093	-39.431	49	south atlantic	A	epipelagic
S0178	geotraces	GA02	JC057	1629687	637403	2011-03-13	13:43:00	-35.0093	-39.431	151	south atlantic	A	epipelagic
S0179	geotraces	GA02	JC057	1629701	639548	2011-03-14	18:45:00	-32.092	-37.4563	10	south atlantic	A	epipelagic
S0180	geotraces	GA02	JC057	1629701	639533	2011-03-14	18:45:00	-32.092	-37.4563	149	south atlantic	A	epipelagic
S0181	geotraces	GA02	JC057	1629722	639692	2011-03-15	23:40:00	-29.0538	-35.8078	11	south atlantic	A	epipelagic
S0182	geotraces	GA02	JC057	1629722	639686	2011-03-15	23:40:00	-29.0538	-35.8078	50	south atlantic	A	epipelagic
S0183	geotraces	GA02	JC057	1629722	639677	2011-03-15	23:40:00	-29.0538	-35.8078	150	south atlantic	A	epipelagic
S0184	geotraces	GA02	JC057	1629743	639764	2011-03-17	00:34:00	-26.0867	-34.2585	10	south atlantic	A	epipelagic
S0185	geotraces	GA02	JC057	1629743	639758	2011-03-17	00:34:00	-26.0867	-34.2585	50	south atlantic	A	epipelagic
S0186	geotraces	GA02	JC057	1629743	639749	2011-03-17	00:34:00	-26.0867	-34.2585	151	south atlantic	A	epipelagic
S0187	geotraces	GA02	JC057	1629771	638351	2011-03-18	14:16:00	-22.4732	-32.7487	9	south atlantic	A	epipelagic
S0188	geotraces	GA02	JC057	1629771	638345	2011-03-18	14:16:00	-22.4732	-32.7487	49	south atlantic	A	epipelagic
S0189	geotraces	GA02	JC057	1629771	638336	2011-03-18	14:16:00	-22.4732	-32.7487	150	south atlantic	A	epipelagic
S0190	geotraces	GA02	JC057	1629785	638561	2011-03-20	14:54:00	-17.0173	-30.6052	49	south atlantic	A	epipelagic
S0191	geotraces	GA02	JC057	1629799	638711	2011-03-22	01:00:00	-12.8957	-29.2335	10	south atlantic	A	epipelagic
S0192	geotraces	GA02	JC057	1629799	638705	2011-03-22	01:00:00	-12.8957	-29.2335	49	south atlantic	A	epipelagic
S0193	geotraces	GA02	JC057	1629799	638696	2011-03-22	01:00:00	-12.8957	-29.2335	149	south atlantic	A	epipelagic
S0195	geotraces	GA02	JC057	1629785	638552	2011-03-20	14:54:00	-17.0173	-30.6052	143	south atlantic	A	epipelagic
S0196	geotraces	GA02	JC057	1629820	638855	2011-03-23	11:11:00	-9.1608	-28.0012	10	south atlantic	A	epipelagic
S0197	geotraces	GA02	JC057	1629820	638849	2011-03-23	11:11:00	-9.1608	-28.0012	50	south atlantic	A	epipelagic
S0198	geotraces	GA02	JC057	1629820	638840	2011-03-23	11:11:00	-9.1608	-28.0012	135	south atlantic	A	epipelagic
S0199	geotraces	GA02	JC057	1629841	638927	2011-03-24	12:54:00	-5.6667	-28.4572	10	south atlantic	A	epipelagic
S0200	geotraces	GA02	JC057	1629841	638921	2011-03-24	12:54:00	-5.6667	-28.4572	50	south atlantic	A	epipelagic
S0201	geotraces	GA02	JC057	1629841	638912	2011-03-24	12:54:00	-5.6667	-28.4572	149	south atlantic	A	epipelagic
S0202	geotraces	GA02	JC057	1629869	639206	2011-03-25	21:08:00	-2.6505	-28.9172	10	south atlantic	A	epipelagic
S0203	geotraces	GA02	JC057	1629869	639200	2011-03-25	21:08:00	-2.6505	-28.9172	65	south atlantic	A	epipelagic
S0204	geotraces	GA02	JC057	1629869	639191	2011-03-25	21:08:00	-2.6505	-28.9172	149	south atlantic	A	epipelagic
S0205	geotraces	GA02	JC057	1629883	639422	2011-03-27	13:11:00	-0.1915	-32.8745	9	south atlantic	A	epipelagic
S0206	geotraces	GA02	JC057	1629883	639416	2011-03-27	13:11:00	-0.1915	-32.8745	61	south atlantic	A	epipelagic
S0207	geotraces	GA02	JC057	1629883	639407	2011-03-27	13:11:00	-0.1915	-32.8745	150	south atlantic	A	epipelagic
