abundance	stdev	clade	location	lat	lon	depth	date
13900	568	LLI	BATS	31.6667	-64.1667	20	2007-03-21T00:00:00Z
11100	737	LLI	BATS	31.6667	-64.1667	40	2007-03-21T00:00:00Z
11900	671	LLI	BATS	31.6667	-64.1667	60	2007-03-21T00:00:00Z
13400	982	LLI	BATS	31.6667	-64.1667	80	2007-03-21T00:00:00Z
13800	478	LLI	BATS	31.6667	-64.1667	100	2007-03-21T00:00:00Z
11200	1920	LLI	BATS	31.6667	-64.1667	120	2007-03-21T00:00:00Z
10800	1260	LLI	BATS	31.6667	-64.1667	140	2007-03-21T00:00:00Z
568	648	LLI	BATS	31.6667	-64.1667	160	2007-03-21T00:00:00Z
152	78.5	LLI	BATS	31.6667	-64.1667	180	2007-03-21T00:00:00Z
19.3	5.7	LLI	BATS	31.6667	-64.1667	200	2007-03-21T00:00:00Z
7720	NA	LLI	BATS	31.6667	-64.1667	1	2007-04-03T00:00:00Z
7720	612	LLI	BATS	31.6667	-64.1667	10	2007-04-03T00:00:00Z
10100	614	LLI	BATS	31.6667	-64.1667	20	2007-04-03T00:00:00Z
8920	0	LLI	BATS	31.6667	-64.1667	40	2007-04-03T00:00:00Z
12400	1710	LLI	BATS	31.6667	-64.1667	60	2007-04-03T00:00:00Z
8350	239	LLI	BATS	31.6667	-64.1667	80	2007-04-03T00:00:00Z
5060	690	LLI	BATS	31.6667	-64.1667	100	2007-04-03T00:00:00Z
5650	59.7	LLI	BATS	31.6667	-64.1667	120	2007-04-03T00:00:00Z
655	91.7	LLI	BATS	31.6667	-64.1667	140	2007-04-03T00:00:00Z
141	6.67	LLI	BATS	31.6667	-64.1667	160	2007-04-03T00:00:00Z
18.5	7.41	LLI	BATS	31.6667	-64.1667	180	2007-04-03T00:00:00Z
5.6	2.02	LLI	BATS	31.6667	-64.1667	200	2007-04-03T00:00:00Z
2660	179	LLI	BATS	31.6667	-64.1667	1	2007-04-15T00:00:00Z
2790	119	LLI	BATS	31.6667	-64.1667	10	2007-04-15T00:00:00Z
2910	103	LLI	BATS	31.6667	-64.1667	20	2007-04-15T00:00:00Z
9440	1420	LLI	BATS	31.6667	-64.1667	40	2007-04-15T00:00:00Z
68700	4780	LLI	BATS	31.6667	-64.1667	60	2007-04-15T00:00:00Z
57000	1930	LLI	BATS	31.6667	-64.1667	80	2007-04-15T00:00:00Z
7490	962	LLI	BATS	31.6667	-64.1667	100	2007-04-15T00:00:00Z
2420	254	LLI	BATS	31.6667	-64.1667	120	2007-04-15T00:00:00Z
944	123	LLI	BATS	31.6667	-64.1667	140	2007-04-15T00:00:00Z
412	37.8	LLI	BATS	31.6667	-64.1667	160	2007-04-15T00:00:00Z
324	87.8	LLI	BATS	31.6667	-64.1667	180	2007-04-15T00:00:00Z
3.67	NA	LLI	BATS	31.6667	-64.1667	200	2007-04-15T00:00:00Z
683	NA	LLI	BATS	31.6667	-64.1667	1	2007-05-17T00:00:00Z
683	25.4	LLI	BATS	31.6667	-64.1667	10	2007-05-17T00:00:00Z
510	218	LLI	BATS	31.6667	-64.1667	20	2007-05-17T00:00:00Z
3450	475	LLI	BATS	31.6667	-64.1667	40	2007-05-17T00:00:00Z
8040	2840	LLI	BATS	31.6667	-64.1667	60	2007-05-17T00:00:00Z
25300	1040	LLI	BATS	31.6667	-64.1667	80	2007-05-17T00:00:00Z
34600	2040	LLI	BATS	31.6667	-64.1667	100	2007-05-17T00:00:00Z
13500	4080	LLI	BATS	31.6667	-64.1667	120	2007-05-17T00:00:00Z
1380	81.7	LLI	BATS	31.6667	-64.1667	140	2007-05-17T00:00:00Z
128	21.9	LLI	BATS	31.6667	-64.1667	160	2007-05-17T00:00:00Z
29.4	9.05	LLI	BATS	31.6667	-64.1667	180	2007-05-17T00:00:00Z
9.69	5.08	LLI	BATS	31.6667	-64.1667	200	2007-05-17T00:00:00Z
0.802	NA	LLI	BATS	31.6667	-64.1667	1	2007-06-21T00:00:00Z
6.41	5.83	LLI	BATS	31.6667	-64.1667	10	2007-06-21T00:00:00Z
4.19	1.21	LLI	BATS	31.6667	-64.1667	20	2007-06-21T00:00:00Z
391	98.4	LLI	BATS	31.6667	-64.1667	40	2007-06-21T00:00:00Z
2650	67.1	LLI	BATS	31.6667	-64.1667	60	2007-06-21T00:00:00Z
7900	3050	LLI	BATS	31.6667	-64.1667	80	2007-06-21T00:00:00Z
10300	2720	LLI	BATS	31.6667	-64.1667	100	2007-06-21T00:00:00Z
29600	3830	LLI	BATS	31.6667	-64.1667	120	2007-06-21T00:00:00Z
8270	1880	LLI	BATS	31.6667	-64.1667	140	2007-06-21T00:00:00Z
289	80.4	LLI	BATS	31.6667	-64.1667	160	2007-06-21T00:00:00Z
54.9	33.5	LLI	BATS	31.6667	-64.1667	180	2007-06-21T00:00:00Z
18	4.57	LLI	BATS	31.6667	-64.1667	200	2007-06-21T00:00:00Z
10.2	0.978	LLI	BATS	31.6667	-64.1667	1	2007-07-19T00:00:00Z
8.2	3.03	LLI	BATS	31.6667	-64.1667	10	2007-07-19T00:00:00Z
7.87	4.88	LLI	BATS	31.6667	-64.1667	20	2007-07-19T00:00:00Z
388	40.9	LLI	BATS	31.6667	-64.1667	40	2007-07-19T00:00:00Z
15400	2980	LLI	BATS	31.6667	-64.1667	60	2007-07-19T00:00:00Z
43200	15100	LLI	BATS	31.6667	-64.1667	80	2007-07-19T00:00:00Z
46500	2670	LLI	BATS	31.6667	-64.1667	100	2007-07-19T00:00:00Z
5100	1250	LLI	BATS	31.6667	-64.1667	120	2007-07-19T00:00:00Z
1960	53.8	LLI	BATS	31.6667	-64.1667	140	2007-07-19T00:00:00Z
52.5	3.96	LLI	BATS	31.6667	-64.1667	160	2007-07-19T00:00:00Z
5.34	3.84	LLI	BATS	31.6667	-64.1667	180	2007-07-19T00:00:00Z
2.57	1.62	LLI	BATS	31.6667	-64.1667	200	2007-07-19T00:00:00Z
2.45	1.75	LLI	BATS	31.6667	-64.1667	1	2007-08-17T00:00:00Z
4.45	2.71	LLI	BATS	31.6667	-64.1667	10	2007-08-17T00:00:00Z
6.33	4.74	LLI	BATS	31.6667	-64.1667	20	2007-08-17T00:00:00Z
105	16.9	LLI	BATS	31.6667	-64.1667	40	2007-08-17T00:00:00Z
10800	640	LLI	BATS	31.6667	-64.1667	60	2007-08-17T00:00:00Z
27300	1270	LLI	BATS	31.6667	-64.1667	80	2007-08-17T00:00:00Z
19100	2290	LLI	BATS	31.6667	-64.1667	100	2007-08-17T00:00:00Z
2280	36.6	LLI	BATS	31.6667	-64.1667	120	2007-08-17T00:00:00Z
680	67.4	LLI	BATS	31.6667	-64.1667	140	2007-08-17T00:00:00Z
273	23.6	LLI	BATS	31.6667	-64.1667	160	2007-08-17T00:00:00Z
78.9	10.7	LLI	BATS	31.6667	-64.1667	180	2007-08-17T00:00:00Z
3.56	2.27	LLI	BATS	31.6667	-64.1667	200	2007-08-17T00:00:00Z
5.8	3.29	LLI	BATS	31.6667	-64.1667	1	2007-09-08T00:00:00Z
12.7	12.3	LLI	BATS	31.6667	-64.1667	10	2007-09-08T00:00:00Z
3.59	2.03	LLI	BATS	31.6667	-64.1667	20	2007-09-08T00:00:00Z
61.4	23.9	LLI	BATS	31.6667	-64.1667	40	2007-09-08T00:00:00Z
12900	104	LLI	BATS	31.6667	-64.1667	60	2007-09-08T00:00:00Z
18200	1200	LLI	BATS	31.6667	-64.1667	80	2007-09-08T00:00:00Z
9870	654	LLI	BATS	31.6667	-64.1667	100	2007-09-08T00:00:00Z
2750	103	LLI	BATS	31.6667	-64.1667	120	2007-09-08T00:00:00Z
497	107	LLI	BATS	31.6667	-64.1667	140	2007-09-08T00:00:00Z
368	53.8	LLI	BATS	31.6667	-64.1667	160	2007-09-08T00:00:00Z
214	23.3	LLI	BATS	31.6667	-64.1667	180	2007-09-08T00:00:00Z
15.5	7.96	LLI	BATS	31.6667	-64.1667	200	2007-09-08T00:00:00Z
3.37	3.64	LLI	BATS	31.6667	-64.1667	1	2007-10-06T00:00:00Z
4.84	NA	LLI	BATS	31.6667	-64.1667	10	2007-10-06T00:00:00Z
6.48	5.17	LLI	BATS	31.6667	-64.1667	20	2007-10-06T00:00:00Z
9.56	NA	LLI	BATS	31.6667	-64.1667	40	2007-10-06T00:00:00Z
189	37.1	LLI	BATS	31.6667	-64.1667	60	2007-10-06T00:00:00Z
13500	1840	LLI	BATS	31.6667	-64.1667	80	2007-10-06T00:00:00Z
8150	2010	LLI	BATS	31.6667	-64.1667	100	2007-10-06T00:00:00Z
943	173	LLI	BATS	31.6667	-64.1667	120	2007-10-06T00:00:00Z
327	37.9	LLI	BATS	31.6667	-64.1667	140	2007-10-06T00:00:00Z
90.4	15.4	LLI	BATS	31.6667	-64.1667	160	2007-10-06T00:00:00Z
84.1	5.65	LLI	BATS	31.6667	-64.1667	180	2007-10-06T00:00:00Z
4.4	1.92	LLI	BATS	31.6667	-64.1667	200	2007-10-06T00:00:00Z
602	96.6	LLI	BATS	31.6667	-64.1667	1	2007-11-14T00:00:00Z
615	48.5	LLI	BATS	31.6667	-64.1667	10	2007-11-14T00:00:00Z
709	78.5	LLI	BATS	31.6667	-64.1667	20	2007-11-14T00:00:00Z
634	46.8	LLI	BATS	31.6667	-64.1667	40	2007-11-14T00:00:00Z
1020	137	LLI	BATS	31.6667	-64.1667	60	2007-11-14T00:00:00Z
9010	982	LLI	BATS	31.6667	-64.1667	80	2007-11-14T00:00:00Z
716	47.8	LLI	BATS	31.6667	-64.1667	100	2007-11-14T00:00:00Z
544	142	LLI	BATS	31.6667	-64.1667	120	2007-11-14T00:00:00Z
43.3	6.32	LLI	BATS	31.6667	-64.1667	140	2007-11-14T00:00:00Z
8.48	5.6	LLI	BATS	31.6667	-64.1667	160	2007-11-14T00:00:00Z
8.25	NA	LLI	BATS	31.6667	-64.1667	180	2007-11-14T00:00:00Z
8.02	5.27	LLI	BATS	31.6667	-64.1667	200	2007-11-14T00:00:00Z
2240	235	LLI	BATS	31.6667	-64.1667	1	2007-12-06T00:00:00Z
1810	458	LLI	BATS	31.6667	-64.1667	10	2007-12-06T00:00:00Z
2220	157	LLI	BATS	31.6667	-64.1667	20	2007-12-06T00:00:00Z
2220	253	LLI	BATS	31.6667	-64.1667	40	2007-12-06T00:00:00Z
1820	253	LLI	BATS	31.6667	-64.1667	60	2007-12-06T00:00:00Z
10700	1020	LLI	BATS	31.6667	-64.1667	80	2007-12-06T00:00:00Z
1490	222	LLI	BATS	31.6667	-64.1667	100	2007-12-06T00:00:00Z
258	76.3	LLI	BATS	31.6667	-64.1667	120	2007-12-06T00:00:00Z
95.5	27.4	LLI	BATS	31.6667	-64.1667	140	2007-12-06T00:00:00Z
10.2	6.19	LLI	BATS	31.6667	-64.1667	160	2007-12-06T00:00:00Z
4.46	0.882	LLI	BATS	31.6667	-64.1667	180	2007-12-06T00:00:00Z
2.99	1.03	LLI	BATS	31.6667	-64.1667	200	2007-12-06T00:00:00Z
14.3	NA	LLI	HOT	22.75	-158	5	2002-11-04T00:00:00Z
1.96	NA	LLI	HOT	22.75	-158	25	2002-11-04T00:00:00Z
18.7	NA	LLI	HOT	22.75	-158	45	2002-11-04T00:00:00Z
11.2	NA	LLI	HOT	22.75	-158	60	2002-11-04T00:00:00Z
150	NA	LLI	HOT	22.75	-158	75	2002-11-04T00:00:00Z
2850	NA	LLI	HOT	22.75	-158	85	2002-11-04T00:00:00Z
7840	NA	LLI	HOT	22.75	-158	100	2002-11-04T00:00:00Z
1590	NA	LLI	HOT	22.75	-158	115	2002-11-04T00:00:00Z
640	NA	LLI	HOT	22.75	-158	125	2002-11-04T00:00:00Z
24.2	NA	LLI	HOT	22.75	-158	150	2002-11-04T00:00:00Z
25.4	NA	LLI	HOT	22.75	-158	175	2002-11-04T00:00:00Z
33	NA	LLI	HOT	22.75	-158	200	2002-11-04T00:00:00Z
29.6	NA	LLI	HOT	22.75	-158	5	2002-11-25T00:00:00Z
44	NA	LLI	HOT	22.75	-158	25	2002-11-25T00:00:00Z
72.9	NA	LLI	HOT	22.75	-158	45	2002-11-25T00:00:00Z
58.1	NA	LLI	HOT	22.75	-158	60	2002-11-25T00:00:00Z
249	NA	LLI	HOT	22.75	-158	75	2002-11-25T00:00:00Z
551	NA	LLI	HOT	22.75	-158	85	2002-11-25T00:00:00Z
2700	NA	LLI	HOT	22.75	-158	100	2002-11-25T00:00:00Z
1180	NA	LLI	HOT	22.75	-158	115	2002-11-25T00:00:00Z
1390	NA	LLI	HOT	22.75	-158	125	2002-11-25T00:00:00Z
9.64	NA	LLI	HOT	22.75	-158	150	2002-11-25T00:00:00Z
51.4	NA	LLI	HOT	22.75	-158	175	2002-11-25T00:00:00Z
15.4	NA	LLI	HOT	22.75	-158	200	2002-11-25T00:00:00Z
122	NA	LLI	HOT	22.75	-158	5	2002-12-19T00:00:00Z
101	NA	LLI	HOT	22.75	-158	25	2002-12-19T00:00:00Z
134	NA	LLI	HOT	22.75	-158	45	2002-12-19T00:00:00Z
149	NA	LLI	HOT	22.75	-158	60	2002-12-19T00:00:00Z
131	NA	LLI	HOT	22.75	-158	75	2002-12-19T00:00:00Z
315	NA	LLI	HOT	22.75	-158	85	2002-12-19T00:00:00Z
3140	NA	LLI	HOT	22.75	-158	100	2002-12-19T00:00:00Z
1810	NA	LLI	HOT	22.75	-158	115	2002-12-19T00:00:00Z
919	NA	LLI	HOT	22.75	-158	125	2002-12-19T00:00:00Z
63.2	NA	LLI	HOT	22.75	-158	150	2002-12-19T00:00:00Z
20.8	NA	LLI	HOT	22.75	-158	175	2002-12-19T00:00:00Z
13.9	NA	LLI	HOT	22.75	-158	200	2002-12-19T00:00:00Z
322	NA	LLI	HOT	22.75	-158	5	2003-01-17T00:00:00Z
418	NA	LLI	HOT	22.75	-158	25	2003-01-17T00:00:00Z
154	NA	LLI	HOT	22.75	-158	45	2003-01-17T00:00:00Z
156	NA	LLI	HOT	22.75	-158	60	2003-01-17T00:00:00Z
209	NA	LLI	HOT	22.75	-158	75	2003-01-17T00:00:00Z
304	NA	LLI	HOT	22.75	-158	85	2003-01-17T00:00:00Z
319	NA	LLI	HOT	22.75	-158	100	2003-01-17T00:00:00Z
462	NA	LLI	HOT	22.75	-158	115	2003-01-17T00:00:00Z
1420	NA	LLI	HOT	22.75	-158	125	2003-01-17T00:00:00Z
86.6	NA	LLI	HOT	22.75	-158	150	2003-01-17T00:00:00Z
40.2	NA	LLI	HOT	22.75	-158	175	2003-01-17T00:00:00Z
1.47	NA	LLI	HOT	22.75	-158	200	2003-01-17T00:00:00Z
66.6	NA	LLI	HOT	22.75	-158	5	2003-02-26T00:00:00Z
237	NA	LLI	HOT	22.75	-158	25	2003-02-26T00:00:00Z
